ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
04OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.04,2.0,MQ,YES,67.343,0.242,0.20974761955440044,92.504991409525
05OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,129.236,0.334,0.2256043377518654,105.49395025889078
06OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.25,2.0,MQ,YES,68.868,0.23,0.20974761955440044,92.33893539290048
07OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.37,2.0,MQ,YES,149.89,0.421,0.2097810772061348,92.46907947477281
08OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,76.973,0.241,0.2097810772061348,92.46907947477281
09OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,2.0,MQ,YES,80.278,0.231,0.2097810772061348,92.46907947477281
10OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.37,2.0,MQ,YES,80.541,0.212,0.2097810772061348,92.46907947477281
11OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,77.848,0.228,0.2097810772061348,92.46907947477281
12OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.37,2.0,MQ,YES,77.339,0.229,0.2097810772061348,92.46907947477281
13OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,78.537,0.223,0.2097810772061348,92.46907947477281
14OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,141.851,0.334,0.2256043377518654,99.19849021284922
15OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.37,2.0,MQ,YES,100.593,0.152,0.20974761955440044,92.504991409525
16OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,103.514,0.306,0.2256043377518654,99.19849021284922
17OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,66.039,0.243,0.20974761955440044,92.504991409525
18OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,148.899,0.356,0.2256043377518654,105.49395025889078
19OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,66.672,0.27,0.20974761955440044,92.33893539290048
20OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,158.663,0.4,0.2097810772061348,92.46907947477281
21OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,2.0,MQ,YES,76.545,0.261,0.2097810772061348,92.46907947477281
22OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.0439290021890306,2.0,MQ,YES,81.475,0.248,0.2097810772061348,92.46907947477281
23OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,83.866,0.251,0.2097810772061348,92.46907947477281
24OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.71,2.0,MQ,YES,85.223,0.262,0.2097810772061348,92.46907947477281
25OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,80.004,0.233,0.2097810772061348,92.46907947477281
26OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.04,2.0,MQ,YES,83.696,0.257,0.2097810772061348,92.46907947477281
27OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,136.684,0.307,0.2256043377518654,99.19849021284922
28OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.25,2.0,MQ,YES,107.924,0.174,0.20974761955440044,92.504991409525
29OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.5,2.0,MQ,YES,102.589,0.262,0.2256043377518654,99.19849021284922
30OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.71,2.0,MQ,YES,63.026,0.246,0.20974761955440044,92.504991409525
31OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,2.0,MQ,YES,131.852,0.295,0.2256043377518654,105.49395025889078
32OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,65.3,0.272,0.20974761955440044,92.33893539290048
33OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.25,2.0,MQ,YES,157.64,0.409,0.2097810772061348,92.46907947477281
34OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.37,2.0,MQ,YES,75.772,0.254,0.2097810772061348,92.46907947477281
35OD,HSPC,Droplet,0.0,9.576,3.192,3.192,1.0,2.0,MQ,YES,80.386,0.256,0.2097810772061348,92.46907947477281
36OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,76.14,0.247,0.2097810772061348,92.46907947477281
37OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,2.0,MQ,YES,78.939,0.251,0.2097810772061348,92.46907947477281
38OD,HSPC,Droplet,0.0,9.576,3.192,3.192,0.71,2.0,MQ,YES,155.532,0.297,0.2097810772061348,92.46907947477281
39OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.0439290021890306,2.0,MQ,YES,75.29,0.214,0.2097810772061348,92.46907947477281
40OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.71,2.0,MQ,YES,91.341,0.2,0.20974761955440044,92.504991409525
41OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,2.0,MQ,YES,96.467,0.2,0.20974761955440044,92.504991409525
42OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.0439290021890306,2.0,MQ,YES,83.115,0.203,0.20974761955440044,92.504991409525
01OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.71,2.0,MQ,YES,230.059,0.349,0.09436200186610222,218.1778500366211
02OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.0,2.0,MQ,YES,298.002,0.263,0.08334960710257291,214.0008450317383
03OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,2.0,MQ,YES,157.882,0.088,0.09436200186610222,218.1778500366211
04OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,2.0,MQ,YES,125.303,0.065,0.08334960710257291,214.0008450317383
05OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,183.962,0.16,0.13842288106679917,218.1778500366211
06OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.37,2.0,MQ,YES,155.385,0.054,0.07603172849863768,214.0008450317383
07OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.58,2.0,MQ,YES,232.108,0.322,0.09379254572093487,214.05546035766602
08OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,125.924,0.058,0.09379254572093487,214.05546035766602
09OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.37,2.0,MQ,YES,169.717,0.119,0.09379254572093487,214.05546035766602
10OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,2.0,MQ,YES,164.343,0.091,0.09379254572093487,214.05546035766602
11OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.37,2.0,MQ,YES,162.206,0.121,0.09379254572093487,214.05546035766602
12OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.0,2.0,MQ,YES,160.342,0.095,0.09379254572093487,214.05546035766602
13OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.37,2.0,MQ,YES,158.912,0.087,0.09379254572093487,214.05546035766602
14OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,189.764,0.195,0.09436200186610222,218.1778500366211
15OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,229.416,0.244,0.08334960710257291,214.0008450317383
16OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,2.0,MQ,YES,140.386,0.047,0.09436200186610222,218.1778500366211
17OM,ESM,Droplet,24.779,0.0,10.121,0.0,1.37,2.0,MQ,YES,117.314,0.046,0.08334960710257291,214.0008450317383
18OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.25,2.0,MQ,YES,167.216,0.071,0.13842288106679917,218.1778500366211
19OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.37,2.0,MQ,YES,137.968,0.05,0.07603172849863768,214.0008450317383
20OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,2.0,MQ,YES,240.863,0.252,0.09379254572093487,214.05546035766602
21OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,2.0,MQ,YES,115.891,0.07,0.09379254572093487,214.05546035766602
22OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.71,2.0,MQ,YES,139.586,0.08,0.09379254572093487,214.05546035766602
23OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.37,2.0,MQ,YES,141.538,0.064,0.09379254572093487,214.05546035766602
24OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,139.883,0.062,0.09379254572093487,214.05546035766602
25OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,2.0,MQ,YES,139.657,0.065,0.09379254572093487,214.05546035766602
26OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,146.755,0.081,0.09379254572093487,214.05546035766602
27OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.0439290021890306,2.0,MQ,YES,220.699,0.271,0.09436200186610222,218.1778500366211
28OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,303.927,0.274,0.08334960710257291,214.0008450317383
29OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.25,2.0,MQ,YES,159.526,0.071,0.09436200186610222,218.1778500366211
30OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,125.978,0.027,0.08334960710257291,214.0008450317383
31OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,191.239,0.132,0.13842288106679917,218.1778500366211
32OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,158.28,0.059,0.07603172849863768,214.0008450317383
33OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,2.0,MQ,YES,236.083,0.26,0.09379254572093487,214.05546035766602
34OM ,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,130.988,0.044,0.09379254572093487,214.05546035766602
35OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,160.969,0.082,0.09379254572093487,214.05546035766602
36OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.25,2.0,MQ,YES,158.593,0.085,0.09379254572093487,214.05546035766602
37OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.04,2.0,MQ,YES,161.035,0.061,0.09379254572093487,214.05546035766602
38OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.58,2.0,MQ,YES,171.769,0.111,0.09379254572093487,214.05546035766602
39OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,161.298,0.103,0.09379254572093487,214.05546035766602
40OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.37,2.0,MQ,YES,114.922,0.056,0.07603172849863768,214.0008450317383
41OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,109.23,0.05,0.07603172849863768,214.0008450317383
42OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,2.0,MQ,YES,107.303,0.055,0.07603172849863768,214.0008450317383
T1,ESM,Micromixer,3.0,0.0,2.0,0.0,0.25,2.0,MQ,YES,81.0,0.112,0.1351415593922138,95.61530804140176
T2,ESM,Micromixer,3.0,0.0,2.0,0.0,2.0439290021890306,2.0,MQ,YES,79.0,0.109,0.13538346718996763,99.06756536411105
T3,ESM,Micromixer,4.95,0.0,3.05,0.0,0.25,2.0,PBS,YES,98.0,0.152,0.13457151781767607,95.10645172296609
T4,ESM,Micromixer,4.95,0.0,3.05,0.0,0.25,2.0,PBS,YES,118.0,0.205,0.13718517150729895,94.91994022864745
T5,ESM,Micromixer,4.95,0.0,3.05,0.0,0.25,2.0,PBS,YES,160.0,0.239,0.13796081461012363,97.31893139791198
