ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,0.25,3.0,MQ,YES,117.567,0.327,0.3542949119210243,116.36005725860596
02SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,3.0,MQ,YES,124.403,0.403,0.3200223070383072,99.811496791113
03SD,HSPC,Droplet,0.0,9.0,3.0,3.0,0.25,50.0,MQ,NO,169.247,0.531,0.6664151746034622,462.81881393432616
04SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,3.0,PBS,YES,73.088,0.238,0.3186213193833828,98.93365421591865
05SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,50.0,MQ,NO,141.591,0.597,0.6654566496610641,456.8417820739746
06SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,0.25,50.0,PBS,YES,135.642,0.428,0.3571316049993038,111.61160385131836
07SD,HSPC,Droplet,0.0,9.0,3.0,3.0,1.0,3.0,PBS,NO,242.045,0.591,0.666782733798027,469.9817640686035
08SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,19.897,0.443,0.32830599054694176,90.23635971069336
09SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,50.0,PBS,NO,593.99,0.61,0.6704785081744195,479.93608337402344
10SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,0.25,50.0,PBS,YES,138.894,0.49,0.35809113398194314,119.03244716644286
11SD,HSPC,Droplet,0.0,11.25,0.0,3.75,0.25,3.0,PBS,YES,325.634,0.489,0.36503462597727776,119.75855662027996
12SD,HSPC,Droplet,0.0,3.75,0.0,1.25,0.25,3.0,MQ,NO,277.332,0.735,0.6705323231220245,471.7848719787598
13SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.0,50.0,PBS,YES,52.067,0.26,0.3292080357670784,93.80163822174072
14SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,50.0,PBS,YES,101.454,0.35,0.3592728413641453,113.40108173370362
15SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.0,3.0,PBS,YES,77.448,0.233,0.32018257409334183,100.7370101594925
16SD,HSPC,Droplet,0.0,11.25,0.0,3.75,0.25,50.0,MQ,YES,177.522,0.431,0.3648088300228119,119.08861793518066
